ID,Внешний код,Название,Описание,Цена,Картинка для анонса,Детальная картинка,Символьный код
,294791595861,PROTEIN PURE MIX 450г - 1,,2050.00,,https://trad.one/protein_pure_mix?editionuid=294791595861,
,973002378531,PROTEIN PURE MIX 450г - 2 | -10%,,3690.00,,https://trad.one/protein_pure_mix?editionuid=973002378531,
,578001434661,PROTEIN PURE MIX 450г - 3 | -15%,,5228.00,,https://trad.one/protein_pure_mix?editionuid=578001434661,
,886044469641,COLLAGEN PEPTIDE 150г,Коллаген,,https://static.tildacdn.com/stor6161-6565-4165-b261-326634393238/85939234.png,https://trad.one/peptide150g,
,472271347321,COLLAGEN PEPTIDE 150г - 1 | на 1 месяц,,3100.00,,https://trad.one/peptide150g?editionuid=472271347321,6039
,614808193281,COLLAGEN PEPTIDE 150г - 2 | на 2 месяца,,5580.00,,https://trad.one/peptide150g?editionuid=614808193281,60310
,218730550491,COLLAGEN PEPTIDE 150г - 3 | на 3 месяца,,7905.00,,https://trad.one/peptide150g?editionuid=218730550491,60310-3
,429538628251,COLLAGEN JELLY GLOWING SKIN,Коллаген;Бестселлеры,3350.00,https://static.tildacdn.com/stor6532-3136-4236-a562-316237386630/60326462.jpg ,https://trad.one/jelly,6039
,884596400012,MAGNESIUM BISGLYCINATE,Биодобавки;Бестселлеры,,https://static.tildacdn.com/stor3438-3462-4930-b333-663265643562/53898759.jpg ,https://trad.one/magnesium,
,372732136142,MAGNESIUM BISGLYCINATE - 1 | на 1 месяц,,1800.00,,https://trad.one/magnesium?editionuid=372732136142,
,193265228792,MAGNESIUM BISGLYCINATE - 2 | на 2 месяца,,3240.00,,https://trad.one/magnesium?editionuid=193265228792,
,213024636242,MAGNESIUM BISGLYCINATE - 3 | на 3 месяца,,4590.00,,https://trad.one/magnesium?editionuid=213024636242,
,397045748642,COLLAGEN JELLY GLOWING SKIN,Коллаген,6200.00,https://static.tildacdn.com/stor3861-3466-4563-b535-326461663065/39473695.jpg ,https://trad.one/jelly30,
,395351163802,COLLAGEN TRIPEPTIDE,Коллаген;Бестселлеры,4300.00,https://static.tildacdn.com/stor6639-6633-4866-b733-366331303730/78033081.jpg ,https://trad.one/collagen_tripeptide,
